Date Of Bite,Breed,Age,Age Groups,Gender,Gender,SpayNeuter,Borough,ZipCode
1/1/2018,UNKNOWN,,Unknown,U,Unknown,FALSE,Brooklyn,11220
1/4/2018,UNKNOWN,,Unknown,U,Unknown,FALSE,Brooklyn,
1/6/2018,Pit Bull,,Unknown,U,Unknown,FALSE,Brooklyn,11224
1/8/2018,Mixed/Other,4,0-5yrs,M,Male,FALSE,Brooklyn,11231
1/9/2018,Pit Bull,,Unknown,U,Unknown,FALSE,Brooklyn,11224
1/1/2018,UNKNOWN,,Unknown,U,Unknown,FALSE,Brooklyn,
1/3/2018,Pit Bull,,Unknown,U,Unknown,FALSE,Brooklyn,11233
1/7/2018,Yorkshire Terrier Crossbreed,7,5-10yrs,M,Male,TRUE,Brooklyn,11208
1/6/2018,Great Dane,6,5-10yrs,F,Female,TRUE,Brooklyn,
1/1/2018,Pit Bull,,Unknown,U,Unknown,FALSE,Brooklyn,11220
1/9/2018,Labradoodle,5,0-5yrs,F,Female,TRUE,Brooklyn,11238
1/1/2018,West High White Terrier,,Unknown,M,Male,FALSE,Brooklyn,11207
1/14/2018,American Pit Bull Terrier/Pit Bull,,Unknown,U,Unknown,FALSE,Brooklyn,11205
1/13/2018,MIXED,7,5-10yrs,M,Male,FALSE,Brooklyn,11237
1/10/2018,American Pit Bull Terrier/Pit Bull,,Unknown,U,Unknown,FALSE,Brooklyn,11233
1/15/2018,"Poodle, Miniature",8,5-10yrs,M,Male,TRUE,Brooklyn,11217
1/13/2018,American Pit Bull Terrier/Pit Bull,11,10-15yrs,F,Female,TRUE,Brooklyn,11236
1/13/2018,UNKNOWN,,Unknown,U,Unknown,FALSE,Brooklyn,11234
1/9/2018,UNKNOWN,,Unknown,U,Unknown,FALSE,Brooklyn,11220
1/18/2018,Pekingese,3,0-5yrs,M,Male,TRUE,Brooklyn,11220
1/18/2018,Labrador Retriever Crossbreed,11,10-15yrs,M,Male,TRUE,Brooklyn,11214
1/18/2018,American Pit Bull Terrier/Pit Bull,2,0-5yrs,F,Female,TRUE,Brooklyn,11230
1/17/2018,Dachshund Smooth Coat,2,0-5yrs,M,Male,FALSE,Brooklyn,11211
1/20/2018,Pit Bull,,Unknown,U,Unknown,FALSE,Brooklyn,11224
1/23/2018,MIXED,,Unknown,F,Female,FALSE,Brooklyn,11225
1/23/2018,Chihuahua,4,0-5yrs,M,Male,FALSE,Brooklyn,11205
1/15/2018,Pit Bull,,Unknown,U,Unknown,FALSE,Brooklyn,11208
1/23/2018,Yorkshire Terrier,,Unknown,U,Unknown,FALSE,Brooklyn,11210
1/24/2018,Shih Tzu,,Unknown,U,Unknown,FALSE,Brooklyn,11233
1/28/2018,Pug,8,5-10yrs,M,Male,TRUE,Brooklyn,11223
1/27/2018,Maltese,,Unknown,U,Unknown,FALSE,Brooklyn,11224
1/28/2018,Mixed/Other,,Unknown,U,Unknown,FALSE,Brooklyn,11214
1/29/2018,Mixed/Other,7,5-10yrs,F,Female,FALSE,Brooklyn,11232
1/27/2018,UNKNOWN,,Unknown,U,Unknown,FALSE,Brooklyn,11226
1/28/2018,MINATURE PINSCHER X,8,5-10yrs,M,Male,FALSE,Brooklyn,11214
2/1/2018,TERRIER CROSS,4,0-5yrs,M,Male,FALSE,Brooklyn,11233
1/31/2018,Shih Tzu,,Unknown,U,Unknown,FALSE,Brooklyn,11215
1/29/2018,AMERICAN STAFF X,3,0-5yrs,M,Male,TRUE,Brooklyn,11201
2/5/2018,Bichon Frise,,Unknown,U,Unknown,FALSE,Brooklyn,11212
2/5/2018,German Shepherd,1,0-5yrs,M,Male,FALSE,Brooklyn,11236
1/31/2018,Pit Bull,,Unknown,U,Unknown,FALSE,Brooklyn,
2/4/2018,Pit Bull,,Unknown,U,Unknown,FALSE,Brooklyn,11201
2/4/2018,MIXED BREED,,Unknown,U,Unknown,FALSE,Brooklyn,11211
1/29/2018,MIXED,5,0-5yrs,M,Male,FALSE,Brooklyn,11236
1/21/2018,Pit Bull,,Unknown,U,Unknown,FALSE,Brooklyn,11207
2/7/2018,American Pit Bull Terrier/Pit Bull,2,0-5yrs,M,Male,FALSE,Brooklyn,11216
2/13/2018,MIXED BREED,,Unknown,M,Male,FALSE,Brooklyn,11231
2/5/2018,American Pit Bull Mix / Pit Bull Mix,6,5-10yrs,M,Male,FALSE,Brooklyn,11234
2/12/2018,German Shepherd,3,0-5yrs,M,Male,FALSE,Brooklyn,11235
2/15/2018,MIXED BREED,,Unknown,U,Unknown,FALSE,Brooklyn,11215
2/10/2018,Labrador Retriever,5,0-5yrs,M,Male,TRUE,Brooklyn,11239
2/11/2018,Rottweiler,,Unknown,U,Unknown,FALSE,Brooklyn,
2/16/2018,SHIH TZU X,9,5-10yrs,M,Male,FALSE,Brooklyn,11236
2/14/2018,CANE CORSO/BLUE NOSED PIT BULLX,10,5-10yrs,M,Male,FALSE,Brooklyn,11216
2/19/2018,Norfolk Terrier,,Unknown,U,Unknown,FALSE,Brooklyn,11231
2/20/2018,BORDER COLLIE MIX,3,0-5yrs,F,Female,FALSE,Brooklyn,11216
2/16/2018,Beagle Crossbreed,4,0-5yrs,F,Female,TRUE,Brooklyn,11209
2/19/2018,American Pit Bull Mix / Pit Bull Mix,2,0-5yrs,M,Male,FALSE,Brooklyn,11212
2/17/2018,POODLE MIX,4,0-5yrs,M,Male,TRUE,Brooklyn,11230
2/11/2018,UNCERTAIN,,Unknown,U,Unknown,FALSE,Brooklyn,11220
2/17/2018,MIXED BREED,2,0-5yrs,F,Female,TRUE,Brooklyn,11201
2/7/2018,Labrador Retriever Crossbreed,4,0-5yrs,F,Female,TRUE,Brooklyn,11219
2/9/2018,Chihuahua,7,5-10yrs,M,Male,TRUE,Brooklyn,11214
2/22/2018,American Pit Bull Terrier/Pit Bull,2,0-5yrs,F,Female,FALSE,Brooklyn,11233
2/24/2018,Pit Bull,3,0-5yrs,F,Female,TRUE,Brooklyn,11236
2/25/2018,Yorkshire Terrier,,Unknown,F,Female,FALSE,Brooklyn,11234
2/24/2018,Rottweiler,,Unknown,U,Unknown,FALSE,Brooklyn,11233
2/25/2018,Pit Bull,3,0-5yrs,M,Male,FALSE,Brooklyn,11218
2/26/2018,MINI PINSCHER/POMERANIAN X,8,5-10yrs,M,Male,TRUE,Brooklyn,11214
2/27/2018,Pit Bull,3,0-5yrs,F,Female,FALSE,Brooklyn,11208
2/26/2018,"Poodle, Standard",5,0-5yrs,F,Female,FALSE,Brooklyn,11220
2/17/2018,Pit Bull,,Unknown,U,Unknown,FALSE,Brooklyn,11233
2/26/2018,Labradoodle,8,5-10yrs,M,Male,TRUE,Brooklyn,11201
3/4/2018,UNCERTAIN,,Unknown,U,Unknown,FALSE,Brooklyn,11206
3/3/2018,Australian Silky Terrier,6,5-10yrs,M,Male,TRUE,Brooklyn,11208
3/2/2018,Cocker Spaniel,2,0-5yrs,M,Male,FALSE,Brooklyn,11209
3/4/2018,Beagle Crossbreed,,Unknown,U,Unknown,FALSE,Brooklyn,11215
3/4/2018,Siberian Husky,5,0-5yrs,F,Female,TRUE,Brooklyn,11234
3/5/2018,MIXED BREED,3,0-5yrs,M,Male,FALSE,Brooklyn,11225
3/4/2018,American Pit Bull Mix / Pit Bull Mix,4,0-5yrs,M,Male,TRUE,Brooklyn,
2/28/2018,SHEPHERD/POINTER X,1,0-5yrs,M,Male,TRUE,Brooklyn,11209
3/5/2018,Boxer,,Unknown,U,Unknown,FALSE,Brooklyn,11215
3/6/2018,Shih Tzu,,Unknown,U,Unknown,FALSE,Brooklyn,
3/6/2018,American Pit Bull Terrier/Pit Bull,,Unknown,U,Unknown,FALSE,Brooklyn,11220
3/6/2018,MIXED BREED,13,10-15yrs,M,Male,TRUE,Brooklyn,11229
3/3/2018,TERRIER MIX,5,0-5yrs,M,Male,FALSE,Brooklyn,11234
2/21/2018,German Shepherd,,Unknown,U,Unknown,FALSE,Brooklyn,11219
2/22/2018,UNCERTAIN,,Unknown,U,Unknown,FALSE,Brooklyn,11212
3/11/2018,Pit Bull,2,0-5yrs,F,Female,TRUE,Brooklyn,11234
3/12/2018,Siberian Husky,2,0-5yrs,M,Male,FALSE,Brooklyn,11219
